,Unnamed: 0,route,ewt_mean,ewt_perc_25,ewt_perc_50,ewt_perc_75,rbt_geral,rbt_perc_25,rbt_perc_50,rbt_perc_75,latitude,longitude
1123,25,1780-10-0,1.5380600835973108,1.5262457939336058,1.5229187143274423,1.5403379609612442,0.3677560970822928,0.419573628299392,0.4599968706909277,0.4596524561670176,-23.448494933442674,-46.57888812668429
1124,25,1780-10-0,1.5380600835973108,1.5262457939336058,1.5229187143274423,1.5403379609612442,0.3677560970822928,0.419573628299392,0.4599968706909277,0.4596524561670176,-23.45034081717534,-46.57973232955715
1125,25,1780-10-0,1.5380600835973108,1.5262457939336058,1.5229187143274423,1.5403379609612442,0.3677560970822928,0.419573628299392,0.4599968706909277,0.4596524561670176,-23.452025643172693,-46.58153300745588
1126,25,1780-10-0,1.5380600835973108,1.5262457939336058,1.5229187143274423,1.5403379609612442,0.3677560970822928,0.419573628299392,0.4599968706909277,0.4596524561670176,-23.453850164570817,-46.58380675163536
1127,25,1780-10-0,1.5380600835973108,1.5262457939336058,1.5229187143274423,1.5403379609612442,0.3677560970822928,0.419573628299392,0.4599968706909277,0.4596524561670176,-23.456219904193674,-46.5848683428306
1128,25,1780-10-0,1.5380600835973108,1.5262457939336058,1.5229187143274423,1.5403379609612442,0.3677560970822928,0.419573628299392,0.4599968706909277,0.4596524561670176,-23.457569416491534,-46.58527326300389
1129,25,1780-10-0,1.5380600835973108,1.5262457939336058,1.5229187143274423,1.5403379609612442,0.3677560970822928,0.419573628299392,0.4599968706909277,0.4596524561670176,-23.459739596214032,-46.58506595595071
1130,25,1780-10-0,1.5380600835973108,1.5262457939336058,1.5229187143274423,1.5403379609612442,0.3677560970822928,0.419573628299392,0.4599968706909277,0.4596524561670176,-23.4610083555643,-46.58304909092839
1131,25,1780-10-0,1.5380600835973108,1.5262457939336058,1.5229187143274423,1.5403379609612442,0.3677560970822928,0.419573628299392,0.4599968706909277,0.4596524561670176,-23.46266766585547,-46.583066031163256
1132,25,1780-10-0,1.5380600835973108,1.5262457939336058,1.5229187143274423,1.5403379609612442,0.3677560970822928,0.419573628299392,0.4599968706909277,0.4596524561670176,-23.464656723675184,-46.583513250545934
1133,25,1780-10-0,1.5380600835973108,1.5262457939336058,1.5229187143274423,1.5403379609612442,0.3677560970822928,0.419573628299392,0.4599968706909277,0.4596524561670176,-23.46679296114517,-46.585538325290216
1134,25,1780-10-0,1.5380600835973108,1.5262457939336058,1.5229187143274423,1.5403379609612442,0.3677560970822928,0.419573628299392,0.4599968706909277,0.4596524561670176,-23.46787844794538,-46.58899916933043
1135,25,1780-10-0,1.5380600835973108,1.5262457939336058,1.5229187143274423,1.5403379609612442,0.3677560970822928,0.419573628299392,0.4599968706909277,0.4596524561670176,-23.468050433075124,-46.593548525457706
1136,25,1780-10-0,1.5380600835973108,1.5262457939336058,1.5229187143274423,1.5403379609612442,0.3677560970822928,0.419573628299392,0.4599968706909277,0.4596524561670176,-23.46824138882152,-46.59550119163927
1137,25,1780-10-0,1.5380600835973108,1.5262457939336058,1.5229187143274423,1.5403379609612442,0.3677560970822928,0.419573628299392,0.4599968706909277,0.4596524561670176,-23.46945841270723,-46.59646577692185
1138,25,1780-10-0,1.5380600835973108,1.5262457939336058,1.5229187143274423,1.5403379609612442,0.3677560970822928,0.419573628299392,0.4599968706909277,0.4596524561670176,-23.471634054560703,-46.59745123438308
1139,25,1780-10-0,1.5380600835973108,1.5262457939336058,1.5229187143274423,1.5403379609612442,0.3677560970822928,0.419573628299392,0.4599968706909277,0.4596524561670176,-23.47412003402361,-46.59869844789206
1140,25,1780-10-0,1.5380600835973108,1.5262457939336058,1.5229187143274423,1.5403379609612442,0.3677560970822928,0.419573628299392,0.4599968706909277,0.4596524561670176,-23.478396511372427,-46.60243570296571
1141,25,1780-10-0,1.5380600835973108,1.5262457939336058,1.5229187143274423,1.5403379609612442,0.3677560970822928,0.419573628299392,0.4599968706909277,0.4596524561670176,-23.481244988240682,-46.6041822913705
1142,25,1780-10-0,1.5380600835973108,1.5262457939336058,1.5229187143274423,1.5403379609612442,0.3677560970822928,0.419573628299392,0.4599968706909277,0.4596524561670176,-23.482955604910522,-46.60670849821927
1143,25,1780-10-0,1.5380600835973108,1.5262457939336058,1.5229187143274423,1.5403379609612442,0.3677560970822928,0.419573628299392,0.4599968706909277,0.4596524561670176,-23.485803887262982,-46.60840498105088
1144,25,1780-10-0,1.5380600835973108,1.5262457939336058,1.5229187143274423,1.5403379609612442,0.3677560970822928,0.419573628299392,0.4599968706909277,0.4596524561670176,-23.487813675071248,-46.609051248447344
1813,46,2100-10-0,1.2417745085052867,1.4012437461763978,1.4822460219000977,1.9321888444088755,0.25304045284422483,0.31356506957132385,0.37294066839228057,0.5166758926781801,-23.558809246827078,-46.52133331077672
